Sheep Year,Herd,Sex,%Marks,%VHF,%GPS,Marks,GPS,VHF
2017,Mt. Gibbs,Female,0.44,0.28,0.12,11,3,7
2017,Mt. Gibbs,Male,0.6,0.4,0.2,3,1,2
2017,Mt. Baxter,Female,0.36,0.25,0.14,20,8,14
2017,Mt. Baxter,Male,0.16,0.02,0.05,7,2,1
2017,Sawmill Canyon,Female,0.31,0.13,0.11,14,5,6
2017,Sawmill Canyon,Male,0.69,0.25,0,11,0,4
2017,Wheeler Ridge,Female,0.31,0.18,0.02,14,1,8
2017,Wheeler Ridge,Male,0.44,0.22,0.06,8,1,4
2017,Mt. Williamson,Female,0.29,0.12,0.06,5,1,2
2017,Mt. Williamson,Male,0.25,0.12,0.12,2,1,1
2017,Mt. Langley,Female,0.37,0.3,0.26,10,7,8
2017,Mt. Langley,Male,0.17,0.11,0.06,6,2,4
2017,Convict Creek,Female,0.5,0.17,0,3,0,1
2017,Convict Creek,Male,0.67,0.33,0,2,0,1
2017,Bubbs Creek,Female,0.14,0.14,0.07,2,1,2
2017,Bubbs Creek,Male,0.2,0,0,1,0,0
2017,Olancha Peak,Female,0.59,0.55,0.27,13,6,12
2017,Olancha Peak,Male,0.4,0.4,0.2,4,2,4
2017,Big Arroyo,Female,0.89,0.89,0.67,8,6,8
2017,Big Arroyo,Male,,,,3,3,3
2017,Laurel Creek,Female,0.5,0.5,0.5,1,1,1
2017,Laurel Creek,Male,2,2,1,2,1,2
2017,Cathedral,Female,0.67,0.5,0.17,4,1,3
2017,Cathedral,Male,,,,2,2,2
2017,Taboose Creek,Female,1,1,1,1,1,1
2017,Taboose Creek,Male,0,0,0,0,0,0
2017,Mt. Warren,Female,0.17,0,0,1,0,0
2017,Mt. Warren,Male,0,0,0,0,0,0
2016,Mt. Gibbs,Female,0.44,0.33,0.04,12,1,9
2016,Mt. Gibbs,Male,0.11,0.11,0,2,0,2
2016,Mt. Baxter,Female,0.5,0.31,0.21,24,10,15
2016,Mt. Baxter,Male,0.25,0.1,0.05,10,2,4
2016,Wheeler Ridge,Female,0.42,0.25,0.1,22,5,13
2016,Wheeler Ridge,Male,0.29,0.18,0.08,11,3,7
2016,Sawmill Canyon,Female,0.5,0.4,0.21,21,9,17
2016,Sawmill Canyon,Male,0.77,0.5,0.09,17,2,11
2016,Mt. Williamson,Female,0.45,0.45,0.09,5,1,5
2016,Mt. Williamson,Male,0.33,0.33,0,1,0,1
2016,Mt. Langley,Female,0.25,0.2,0.14,13,7,10
2016,Mt. Langley,Male,0.43,0.22,0.17,10,4,5
2016,Convict Creek,Female,0.44,0.22,0.17,8,3,4
2016,Convict Creek,Male,0.21,0.14,0,3,0,2
2016,Bubbs Creek,Female,0.29,0.21,0,4,0,3
2016,Bubbs Creek,Male,0.6,0.6,0,3,0,3
2016,Big Arroyo,Female,0.8,0.7,0.1,8,1,7
2016,Big Arroyo,Male,0.43,0.43,0,3,0,3
2016,Laurel Creek,Female,0.75,0.75,0.5,6,4,6
2016,Laurel Creek,Male,1.5,1.5,1.25,6,5,6
2016,Olancha Peak,Female,0.56,0.56,0,10,0,10
2016,Olancha Peak,Male,0.22,0.22,0,2,0,2
2016,Cathedral,Female,1,0.9,0.8,10,8,9
2016,Cathedral,Male,,,,5,5,5
2016,Mt. Warren,Female,0.1,0,0,1,0,0
2016,Mt. Warren,Male,0.1,0.1,0,1,0,1
2016,Taboose Creek,Female,,,,1,1,1
2016,Taboose Creek,Male,,,,2,1,2
2015,Mt. Gibbs,Female,0.59,0.45,0.18,13,4,10
2015,Mt. Gibbs,Male,0.29,0.29,0.07,4,1,4
2015,Mt. Baxter,Female,0.48,0.35,0.2,19,8,14
2015,Mt. Baxter,Male,0.39,0.24,0.15,13,5,8
